#Parameter Lower_error Median Upper_error Best_fit
Max_lnprob 763.4546495903852
Rs 12873690.828639984 809686508.6083369 13166134.428020358 807230278.148624
Mp 4.196637408452862e+25 1.8675981891723797e+27 3.921969526137595e+25 1.8556980552560996e+27
Rp 1108126.4750552475 71618701.52537508 1168161.291508764 71434196.2481365
T 8.480640694907379 1210.0370417702884 13.660461925143409 1206.0776498824137
log_scatt_factor 0.06424723686061928 1.1470140903160129 0.05001753319990088 1.156992396882529
logZ 0.0420156447917156 0.5032698520961462 0.04893656997185514 0.5098788016506266
log_cloudtop_P 0.33924293976877795 4.446585764879886 0.3779039831293085 4.32248679517379
error_multiple 0.013041374692523533 0.15853325086951126 0.01893067092636813 0.15214321658011426
