Wavelength (micron)  Background (photon/sec/pixel)
       1.9602151       9.7886946
       1.9604321       7.4198306
       1.9606490       8.2590620
       1.9608660       10.977068
       1.9610831       16.972647
       1.9613000       29.253220
       1.9615171       47.154436
       1.9617341       61.794888
       1.9619510       62.632233
       1.9621680       49.474693
       1.9623851       32.978094
       1.9626020       22.652719
       1.9628191       19.145776
       1.9630361       18.669590
       1.9632530       21.015242
       1.9634700       33.541564
       1.9636871       66.400282
       1.9639040       116.36628
       1.9641211       157.09500
       1.9643381       158.74369
       1.9645550       119.84263
       1.9647720       68.512223
       1.9649891       31.731716
       1.9652060       14.461878
       1.9654231       8.3131361
       1.9656401       6.2142266
       1.9658570       5.4071268
       1.9660740       5.1244406
       1.9662911       5.2868247
       1.9665080       6.0787959
       1.9667251       7.9026097
       1.9669421       12.311370
       1.9671590       22.772267
       1.9673760       41.053536
       1.9675931       60.619455
       1.9678100       68.505676
       1.9680270       58.382422
       1.9682441       38.037565
       1.9684610       20.403001
       1.9686780       11.135568
       1.9688951       8.8374835
       1.9691120       13.128452
       1.9693290       30.099941
       1.9695461       70.226712
       1.9697630       134.33880
       1.9699800       197.10961
       1.9701971       217.57273
       1.9704140       179.25016
       1.9706310       109.79797
       1.9708481       50.653071
       1.9710650       19.463073
       1.9712820       8.6661854
       1.9714991       6.0176786
       1.9717160       5.3100776
       1.9719330       4.8999601
       1.9721501       4.5748134
       1.9723670       4.5082461
       1.9725840       5.4610129
       1.9728010       9.3656174
       1.9730181       18.789097
       1.9732350       33.576301
       1.9734521       47.701496
       1.9736691       52.464786
       1.9738860       44.846519
       1.9741030       31.368091
       1.9743201       24.165308
       1.9745370       33.930749
       1.9747541       61.273365
       1.9749711       90.768093
       1.9751880       100.87384
       1.9754050       84.911466
       1.9756221       56.979791
       1.9758390       34.859032
       1.9760561       24.659881
       1.9762731       27.506198
       1.9764900       53.700615
       1.9767070       115.27233
       1.9769241       196.14419
       1.9771410       246.20606
       1.9773581       227.09779
       1.9775751       155.11921
       1.9777920       80.810469
       1.9780090       35.563454
       1.9782261       16.303602
       1.9784430       9.0018740
       1.9786601       5.7603043
       1.9788771       4.2606207
       1.9790940       3.7037045
       1.9793110       3.6058882
       1.9795281       3.7224328
       1.9797450       4.0111518
       1.9799620       4.6233994
